Savings Account Number,Last Name,Identification Number,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance,Password,Credit Starting Balance,Address,First Name,Email,Credit Max
2078,A,79,"December 5, 1953",1078,3078,(915) 747-5042,1311.17,3198.85,A*Daniel!987,-186.96,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielA@disney.com,3938
2055,Navarrete,56,"March 29, 2011",1055,3055,(915) 747-5019,5368.68,3901.29,Navarrete*Grecia!987,-475.59,"500 W. University Ave, El Paso, TX 79968",Grecia,GreciaNavarrete@disney.com,9308
2012,Disney,13,"May 24, 1938",1012,3012,(714) 781-4636,1066.7799,4699.6396,Disney*Mufassa!987,-346.32,"1313 Disneyland Dr, Anaheim, CA 92802",Mufassa,MufassaDisney@disney.com,8216
2056,Garcia,57,"March 29, 1964",1056,3056,(915) 747-5020,4749.8804,3305.52,Garcia*Hernan!987,-511.05,"500 W. University Ave, El Paso, TX 79968",Hernan,HernanGarcia@disney.com,3625
2001,Duck,2,"June 14, 2009",1001,3001,341.35,4820.33,4911.33,Duck*Donald!987,-1239.22,"1313 Disneyland Dr, Anaheim, CA 92802",Donald,DonaldDuck@disney.com,4778
2077,Mejia,78,"November 1, 2002",1077,3077,(915) 747-5041,39138.72,642.59,Mejia*Daniel!987,-1368.18,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielMejia@disney.com,8870
2079,B,80,"October 13, 1999",1079,3079,(915) 747-5043,1423.90,105.65,B*Daniel!987,-1387.10,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielB@disney.com,3924
2014,Pan,15,"October 18, 1954",1014,3014,(714) 781-4636,2100.51,2066.47,Pan*Peter!987,-1274.09,"1313 Disneyland Dr, Anaheim, CA 92802",Peter,PeterPan@disney.com,5738
2102,Z,103,"September 24, 2008",1102,3102,(915) 747-5066,1497.87,1857.88,Z*Daniel!987,-1908.51,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielZ@disney.com,8559
2032,Disney,33,"March 27, 2004",1032,3032,(714) 781-4636,4328.97,4413.97,Disney*Hercules!987,-1381.50,"1313 Disneyland Dr, Anaheim, CA 92802",Hercules,HerculesDisney@disney.com,3335
2087,J,88,"December 19, 1939",1087,3087,(915) 747-5051,156.17,21.57,J*Daniel!987,-197.37,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielJ@disney.com,5794
2018,Mermaid,19,"September 10, 1967",1018,3018,(714) 781-4636,1730.29,1703.4501,Mermaid*Ursela!987,-1821.94,"1313 Disneyland Dr, Anaheim, CA 92802",Ursela,UrselaMermaid@disney.com,4262
2088,K,89,"December 31, 2015",1088,3088,(915) 747-5052,1699.61,1577.70,K*Daniel!987,-165.76,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielK@disney.com,6233
2066,Melendez Lujan,67,"July 10, 1966",1066,3066,(915) 747-5030,5557.42,97.69,Melendez Lujan*Manuel!987,-908.91,"500 W. University Ave, El Paso, TX 79968",Manuel,ManuelMelendez Lujan@disney.com,7454
